Protein Name,SGD ID,Gene length (bp),expression,Solubilization DDM,Molecular Weight (Da),PI,Charge,Extiction Coefficient,Signal peptide,DScore,#Amino acids,#TMH,Cys%,Met%,Trp%,Tyr%,Special Note
ADT3,YBR085W,924,**,*,33312.8,10.38,20,0.94,N,0.204,307,4,1.3,3.6,1,3.6,
IZH4,YOL101C,939,***,***,36607.6,8.19,6.5,1.03,N,0.025,312,7,1.6,1.9,1,5.1,
KRE1,YNL322C,942,-,-,32157.9,8.94,3,0.87,Y,0.779,313,3,0,2.2,1.3,1.3,
IZH1,YDR492W,951,-,-,36491.6,8.59,13,1.43,N,0.064,316,6,3.5,2.5,1.9,4.4,
BSD2,YBR290W,966,***,***,35763.5,4.43,-17,0.71,N,0.035,321,3,0.3,2.2,0.6,3.4,
GOG5,YGL225W,1014,***,***,37018.6,9.7,12,1.3,N,0.12,337,9,1.8,3.6,1.8,3.3,
YP264,YPL264C,1062,*,*,39702.7,7.89,4,1.82,N,0.395,353,10,1.4,4,2.8,3.4,
YNI0,YNL080C,1101,*,*,41673.7,5.84,-3.5,1.48,N,0.028,366,4,1.4,3,1.9,4.6,
SSU81,YER118C,1104,***,***,41125.5,5.38,-4,1.56,N,0.074,367,4,0.5,1.6,1.9,5.2,
YMG6,YML066C,1110,*,*,40871.5,8.53,6.5,0.96,Y,0.656,369,4,1.6,2.4,1.1,3.5,
THI74,YDR438W,1113,-,-,41384.5,6.02,-1.5,1.27,Y,0.701,370,10,1.4,2.2,1.9,2.7,
CSH1,YBR161W,1131,*,-,44381.9,9.45,17,1.95,Y,0.562,376,3,1.3,1.9,2.7,6.1,
COS2,YML132W,1140,**,**,45165,8.72,8.5,2.41,N,0.166,379,4,2.4,2.9,4.2,3.7,
SCS3,YGL126W,1143,,,42734.7,10.13,27.5,2.59,Y,0.657,380,5,2.6,2.4,4.5,2.9,failed in cloning
COS8,YHL048W,1146,,,45879.4,8.51,5.5,2.28,N,0.167,381,3,1.6,2.9,3.9,3.9,failed in cloning
SUR1,YPL057C,1149,-,-,44807.9,9.28,15.5,1.83,Y,0.637,382,3,1.8,1.8,2.4,6.3,
VCX1,YDL128W,1236,***,***,44646.3,5.49,-5.5,0.77,N,0.138,411,11,0.7,2.9,1,2.2,
YB8B,YBR287W,1284,*,*,47506.2,4.53,-11,1.2,Y,0.583,427,6,0.7,2.6,1.9,2.1,
YM49,YMR187C,1296,-,-,50287.7,9.11,21.5,2.03,Y,0.508,431,3,3.9,1.4,3,5.1,
RAX1,YOR301W,1308,*,-,50160.4,7.35,5.5,1.26,N,0.046,435,3,1.8,2.1,1.8,3.2,
YD133,YDL133W,1314,**,*,49580.1,9,10.5,1.36,N,0.014,437,4,1.4,0.9,1.8,3.9,
ZRC1,YMR243C,1329,***,***,48344.7,6.34,-2.5,0.83,Y,0.592,442,6,1.1,1.4,1.1,2,
AVT6,YER119C,1347,**,**,48840.2,8.92,14,0.74,Y,0.62,448,11,2.2,3.1,0.7,3.3,
AVT5,YBL089W,1380,*,*,50891.9,9.03,16,0.54,N,0.423,459,9,2.2,2.6,0.2,3.7,
VPS73,YGL104C,1461,,,54331.1,9.4,18,1.42,N,0.149,486,10,2.3,2.9,2.1,3.3,failed in cloning
MCH4,YOL119C,1506,-,-,54706.8,9.07,15.5,1.48,N,0.11,501,12,2.6,2.2,2,3.8,
SMP3,YOR149C,1551,*,*,59900.4,9.2,17,1.54,Y,0.707,516,7,1.2,3.1,2.1,4.5,
FCY21,YER060W,1587,*,*,58050,5.22,-5.5,1.99,N,0.024,528,10,1.5,2.7,2.7,5.3,
FCY22,YER060W-A,1593,,,57327.1,4.84,-7.5,1.95,N,0.035,530,12,1.7,2.8,2.6,4.7,failed in cloning
YFE0,YFL040W,1623,,,60609.9,8.62,11.5,1.54,Y,0.433,540,12,2.2,3.9,2.4,2.8,failed in cloning
MUP3,YHL036W,1641,*,*,60619.5,8.95,13,1.36,N,0.042,546,12,1.6,2.4,1.8,3.7,
SNG1,YGR197C,1644,*,*,61293.3,8.69,9.5,1.51,N,0.023,547,6,1.3,3.1,1.8,5.1,High MW
YD180,YDL180W,1644,*,*,62287.7,5.13,-10,1.06,N,0.378,547,7,1.6,2.6,1.1,4.6,FLAG signal only
ALG12,YNR030W,1656,,,62672.3,7.11,3.5,1.38,Y,0.645,551,9,0.7,3.1,1.8,4.2,failed in cloning
AGP3,YFL055W,1677,-,-,61051.7,7.58,4.5,1.68,N,0.029,558,12,0.9,1.1,2.2,4.8,
GUP1,YGL084C,1683,-,-,65339.7,9.82,26,2.12,N,0.272,560,10,1.1,2.1,3.2,5,
YL152,YLR152C,1731,-,-,64032.1,6.84,1.5,1.17,Y,0.5,576,9,1.9,3,1.4,4,
THIX,YOR071C,1797,***,***,67193.3,7.76,7.5,2.3,N,0.163,598,10,2.5,3.5,3.3,5.4,low MW
GUP2,YPL189W,1830,-,-,71288.5,9.95,31,1.92,Y,0.735,609,10,1.5,2.8,3,4.4,
FRE7,YOL152W,1853,*,* (<50%),71996.8,9.43,26.5,1.47,N,0.052,629,8,1.9,2.5,1.7,5.4,
ARN1,YHL040C,1884,**,**,70898.4,8.34,10.5,2.21,N,0.017,627,13,1.6,2.7,3,6.1,
FUR4,YBR021W,1902,*,*,71735.7,8,9.5,2.33,N,0.068,633,13,2.5,2.4,3.5,5.2,
YNL5,YNL115C,1935,**,* (<50%),74038.6,6.61,1,1.81,N,0.022,644,5,0.5,1.1,2.6,4.5,
PRM2,YIL037C,1971,*,*,75021,8.18,7.5,1.14,N,0.428,656,4,0.8,2.3,1.7,2.7,FLAG signal only
YN19,YNL279W,1986,*,*,73352.5,6.15,-2.5,1.16,N,0.414,661,3,1.8,2.6,1.5,3.3,smeary
FAT1,YBR041W,2010,*,*,77140.7,8.52,13.5,1.52,Y,0.645,669,3,1.3,2.1,1.9,5.1,faint
YIG7,YIL067C,2037,-,-,75482.2,6.35,-1,1.9,N,0.021,678,8,2.2,1.9,2.7,4.7,
MDL1,YLR188W,2088,*,*,75950,10.4,34,0.34,N,0.288,695,5,0.7,2.4,0.1,2.3,
YO365,YOR365C,2112,*,-,80284.9,9.48,22.5,1.23,Y,0.856,703,7,1.4,2.7,1.4,4.7,
FRE4,YNR060W,2160,*,*,82015.1,9.48,34,1.43,Y,0.911,719,5,1.7,2.2,1.4,6.5,
VTC4,YJL012C,2166,-,-,83154.5,6.81,2.5,1.06,N,0.05,721,3,0.6,1.5,1.2,4,
PMT5,YDL093W,2232,**,**,84775.7,7.95,15,1.81,N,0.045,743,11,2,1.6,2.4,5.4,
AKR2,YOR034C,2250,**,**,85235.9,6.72,2.5,1.35,N,0.032,749,7,1.7,2,1.7,4.3,
PMT6,YGR199W,2280,***,***,88025.9,6.84,5,2.24,N,0.032,759,8,1.7,2.8,3.3,5.7,
YD206,YDL206W,2289,*,*,85983.3,6.13,-3.5,1.03,Y,0.552,762,12,1.7,1.4,1.2,3.8,faint
AKR1,YDR264C,2295,-,-,85840,5.47,-11.5,1.32,N,0.034,764,5,1.6,1.8,2,2.9,
YL241,YLR241W,2349,***,***,89343.3,8.25,12,1.36,N,0.095,782,11,1.2,1.4,1.4,5.9,
FLC2,YAL053W,2352,***,***,87462.4,7.9,4.5,0.98,Y,0.691,783,9,1.1,1.9,1.1,3.4,no flag signal
SPO75,YLL005C,2607,-,-,102169,10.1,56.5,1.13,N,0.168,868,11,1.5,1.5,1.3,4.7,faint
NNF2,YGR089W,2811,-,-,106465,8.88,22.5,0.41,N,0.121,936,3,1.1,1.5,0.2,2.7,
ATC1,YGL167C,2853,,,104570,5.36,-10.5,0.36,N,0.018,950,7,1.5,3.3,0.4,1.3,failed in cloning
ADP1,YCR011C,3150,-,-,117231,4.78,-23,0.67,Y,0.872,1049,8,3.1,1.6,0.5,3.7,degradation
YFD4,YFL034W,3222,**,**,119496,4.87,-31,0.85,N,0.015,1073,4,1.4,2.7,1.3,1.6,
BRE4,YDL231C,3378,*,-,129725,9.29,39,1.51,N,0.025,1125,9,1.6,1.6,2.2,3.7,
ATC2,YGL006W,3522,**,**,130861,7.42,6.5,0.72,N,0.034,1173,9,1.4,2.4,0.9,2.1,
STE6,YKL209C,3873,*,-,144765,8.06,19,0.97,N,0.303,1290,10,2,2.9,1.2,3.3,no flag signal
YN99,YNR070W,4002,,,149750,8.03,19.5,1.33,N,0.08,1333,9,1.7,3,1.5,5,failed in cloning
PO152,YMR129W,4014,*,-,151652,6.72,3.5,0.72,N,0.039,1337,3,1.1,1.2,0.4,4.7,
AUS1,YOR011W,4185,*,*,157751,7.2,10,1.3,N,0.081,1394,13,1.9,1.9,1.5,4.8,
PDR15,YDR406W,4590,,,172255,8,21.5,1.37,N,0.018,1529,12,1.9,2.7,1.6,5.1,failed in cloning
